Lemma,Number of occurrences
cachefileset,3
fileset,0
refers,3
libs,3
directories,13
directory,112
common,50
standalone,27
runnable,5
depedencies,0
intersections,0
TTL,13
buildnumber,0
Extra,6
Attributes,6
done,28
previous,13
downloaded,6
operation,30
Resolving,1
find,52
others,9
Bad,12
IvyContext,1
scope,9
causing,58
leak,129
bad,26
subproject,5
builds,18
Decrease,7
footprint,14
running,191
branch,79
Evil,0
behavior,62
form,54
latest.status,0
performs,12
DOS,3
attacks,2
Fail,16
mapped,4
Unit,49
failures,118
ChainResolverTest.class,0
local,255
unable,51
versions,96
depending,23
xml,32
order,163
download,31
containing,42
Dependencies,7
exclusions,1
dependencyManagement,1
dir,17
cleared,3
gotoNode,0
node,101
visited,0
artifactproperty,1
overwrites,5
existing,81
ResolveReport,0
filter,139
evicted,1
getting,125
DownloadArtifact,0
homogeneous,0
ability,110
rebuild,80
dependent,15
leaf,1
scoping,0
ivy.settings.xml,1
Parse,10
license,3
information,148
listTokenValues,0
String,146
Map,40
returned,55
maven-metadata.xml,7
IBiblio,1
Handlers,0
ignore,21
unsuccessful,1
response,69
codes,25
Set,58
modified,14
repositories,45
override,59
Compatibility,12
dependencyMangement,1
make,112
possible,115
specify,67
permissions,35
SSH,20
SFTPRepository,0
calculates,5
resources,84
Publish,1
Ant,10
Task,19
'warnonmissing,0
Eviction,1
providing,12
named,23
lib,20
1.6.2,1
useOrigin,1
url,39
ResovleEngine.downloadArtifacts,0
exclusion,2
IllegalArgumentException,18
Detect,17
asap,0
generatin,0
defaultconf,0
publications,0
Hide,2
specific,88
importing,12
m2compatible,0
flag,29
display,24
searches,0
token,30
outputpattern,1
defined,49
honoured,15
incompatibility,3
IVY,0
recognize,14
property,188
Unwanted,0
eviction,21
optional,65
Review,44
loading,82
sync=,0
removes,8
.svn,0
Scope,10
status,70
leakage,5
lifecycle,31
Detection,4
newer,2
better,83
happen,7
'checkModified,0
'false,0
PATCH,43
entity,31
fix,97
compatible,27
LatestRevisionStrategy.sort,0
sort,42
Retain,2
constraint,51
rules,41
optionally,19
per,104
utilize,4
rule,31
IVY-739,0
Code,51
convention,13
org.apache.ivy.core,0
ambiguity,3
meaning,4
non-existent,5
sees,0
resolving,11
startegy,0
Introduce,55
RepositoryManagementEngine,0
latest,48
circular,4
console,17
output,223
configurable,89
relocation,5
pom.xml,3
define,17
declared,14
publication,0
dates,16
latest-time,0
starting,39
characters,74
reference,39
lost,44
context,63
single,120
thread,143
LatestRevisionStrategy,0
personality,0
confs,1
descriptors,16
left,28
Ability,55
roots,2
buildfilelist,1
deliver,2
non,45
latest.,0
matching,38
exist,32
namespace,43
aware,27
Automatically,11
invoke,17
scripts,43
include,58
incompatible,10
vfs,1
webdav,2
storing,27
ArtifactOrigin,0
guarantee,10
unicity,0
types,169
telescope,0
selectors,14
mapping,85
Ant-task,1
process,105
reports,27
batch,52
graphml,0
ivyrep,0
mandatory,4
explicitly,17
changes,227
since,29
IvyArtifactProperty,0
IvyArtifactReport,0
post,34
chain,16
stategy,0
directly,45
without,207
file-system,0
triggers,31
system,111
ModuleRevisionId,0
encode/decode,2
telling,0
ivyconf.xml,1
'default,0
origin,1
included,15
Bug,33
log,218
messsages,0
embedded,139
Always,3
matches,13
regex,32
extending,19
super,10
management,57
matcher,4
documentation,48
Module,11
wide,11
classloader,13
plugins,31
expose,24
option,196
Cryptic,0
spelling,2
transformation,7
non-existing,5
ReportOutputter,0
customizable,9
Retrieve,3
also,44
donwloads,1
d/l,0
FileUtil,2
File,62
src,6
dest,1
CopyProgressListener,0
overwrite,16
parser,173
necessarily,0
processes,16
important,7
excluded,0
shown,18
omitted,1
calculated,17
comments,27
delivering,1
safely,1
usual,0
Download,3
fallback,8
graph,24
automated,0
able,92
symlinks,5
isolate,0
downloading,7
Conflict,1
badly,8
solved,1
Order,16
macro,6
ivyconf,0
found,75
another,61
Read,9
artifiact,0
filtering,35
cached,26
containers,23
Log,55
specfic,0
problem,53
returnFirst,0
Pass,16
calling,42
put,25
syncing,6
prints,8
late,5
verbose,1
deliverd,0
confmappingoverride,0
imported,5
writing,58
select,70
including/excluding,0
defining,3
aligned,1
SFTP,49
filenames,1
along,12
publish/resolve/retrieve,0
Handle,90
subelements,0
queried,1
appropriate,17
message,324
preserve,12
change,103
ease,2
practices,26
httclient,0
registered,19
https,7
urls,9
Update,260
bouncycastle,0
1.52,0
avoid,52
setting,109
symbol,3
mappings,4
turn,9
dependencytree,1
Provide,281
depended,0
upon,32
transitivity,0
level,123
parts,8
reading,66
'invalid,1
POMs,1
cause,122
Providing,2
cyclic,10
causes,170
attrubutes,0
PomModuleDescriptorParser,0
parse,80
licenses,0
XmlModuleDescriptorWriter,0
write,172
ttl,2
2.4.0,0
improperly,6
handles,20
colon,2
account,39
profiles,2
RETRIEVE,0
combination,7
updatesite,0
Unsupported,2
uris,0
index,522
timestamped,0
SNAPSHOT,7
4.x,24
client,519
library,38
Timeout,9
coding,27
conventions,6
configurations/,0
written,26
delivered,7
abstraction,14
Illegal,7
warnings,108
Java,254
ERROR,74
SubscriptionInfo,10
decode,14
subscription,72
version=2,8
upgrading,14
0.10.0.0,8
0.10.2.1,8
cleaning,12
increase,13
cleaner,12
buffer,55
SourceTask,4
raised,13
poll,16
streams,108
gets,50
stuck,41
re-balance,1
LockException,0
Connect,39
WorkerSinkTask,5
offset,58
commit,100
Kafka,203
Offset,12
committing,5
times,50
RocksDB,2
checkpoint,28
kill,27
Possible,33
deadlock,57
shutdown,92
setState,1
kafka,42
10.2,29
coverage,29
StreamsPartitionAssignor,3
Transient,16
ConsumerCoordinatorTest.testHeartbeatThreadClose,1
Querying,1
window,18
store,151
unwanted,4
keys,97
ProduceRequest,3
batch.size=0,1
producer,72
config,187
Streams,75
stores,26
wildcard,21
topics,51
Defer,0
next,18
pollOnce,0
consumer,109
fetch,41
position,22
already,45
increased,2
SessionStore.fetch,1
key,197
bottleneck,11
Refresh,2
frequently,9
unknown,17
subscribed,2
internal,69
leave.group.on.close,1
Config,16
Connector,104
need,117
compare,12
canonical,5
Cached,5
Session/Window,1
iterator.peekNextKey,1
brokers,37
failing,136
LZ4,14
decompression,5
4-5x,2
Snappy,6
batches,20
Client,116
follow-up,4
SimpleBenchmark,0
auto-generated,2
broker,123
MetricReporter.configure,1
ZkClient,8
Separation,3
Internal,8
External,3
traffic,2
KIP-103,1
KIP-100,1
api,104
break,34
lambda,5
expressions,82
Topic,15
Consumer.position,2
0.10.1.0,2
creating,117
ProducerRecords,1
send,71
via,172
RecordCollector,1
session,123
windows,23
Build,56
killed,21
pure,17
virtual,29
Fix,491
retention,19
policy,163
Producer,28
DefaultPartitioner,0
actually,9
round,10
robin,4
said,2
partition,92
choose,4
round-robin,2
fashion,2
command,146
Record,20
append,27
Ordering,2
operations,119
StreamThread.shutdownTasksAndState,0
void,7
at-least-once,0
guarantees,2
Shared,13
authentication,152
active,50
producers/consumers,2
Failure,19
PlaintextConsumerTest.testInterceptros,1
logic,114
re-checking,1
topic,96
ready,9
transforms,3
StreamThread,6
catch,10
InvalidTopicException,1
Unstable,4
KStreamRepartitionJoinTest.shouldCorrectlyRepartitionOnJoinOperations,3
auto.offset.reset,1
strategies,7
ConcurrentModificationException,35
KafkaProducer,4
Suspended,0
assigned,18
closed,64
standby,3
created,152
auto,44
