Lemma,Number of occurrences
ExtendedType,4
Improving,6
CommonsJdbcEventLogger,0
CAY-2388,1
unify,10
Obj,15
DbEntity,6
CAY-2109,0
cayenne-crypto,13
HMAC,0
CAY-1681,4
Third,4
DISJOINT_BY_ID,4
Veprev,2
//svn.apache.org/repos/asf/cayenne/main/trunk,285
1308073,0
CAY-2116,11
CAY-2021,0
CAY-2207,0
DbAttribute,7
TAB,0
CAY-2165,2
Explicit,2
ServerModule,0
CAY-2010,1
DataSourceBuilder,1
pooling,10
non-pooling,2
DataSources,13
CAY-1960,3
ExpressionFactory.exp,3
positional,0
CAY-1958,1
SelectById,3
full-featured,1
prefetches,0
5456145bf1f19d2c7247aa9da4838c0ccac7b246,0
Savva,4
Kolbechev,3
s.kolbachev,2
Thu,68
Oct,9
13:47:39,0
+0300,2
CAY-1837,1
a81709007e5d727cf88f0ab8892691636394243f,0
13:19:45,0
classes/generate,0
higher,32
CAY-2243,0
ObjectContext.getGraphManager,0
.unregisterObject,0
inconsistencies,1
CAY-2016,0
toMany,0
Real,2
MergeTokens,0
DbImportAction,1
Whole,0
CAY-2114,1
respected,5
respect,9
CAY-2115,9
DbLoader,14
DataMap,15
CAY-2268,0
ListBuilder,0
ambiguities,1
bindings,9
Sane,0
CAY-1594,1
turning,2
on/off,2
cross-ObjectContext,1
ObjectStoreFactory,1
basing,0
RuntimeProperties,2
1152790,0
CAY-2192,0
Custom,4
SelectQuery,11
Ordering,2
ASTPath,0
ObjectSelect.column,0
.columns,0
DbSyncModule,0
ROPServerModule,0
CAY-1839,1
37d8e6113d6ef5a7f9419e43ceab77f40c7f4a60,0
15:29:29,0
DnD,0
DataMaps,4
unlinked,0
DataNode,8
Undo/Redo,0
CAY-2255,1
CAY-2271,1
CAY-2215,1
cayenne-tools,1
cayenne-cgen,0
cayenne-ant,0
subpackage,0
stage,8
reverse,12
engineering,2
CAY-1971,4
Variants,4
Property.like,4
startsWith,8
endsWith,8
CAY-2100,0
supporting,15
Global,0
Major,4
CAY-2300,0
istead,0
silent,1
206,1
CAY-2287,0
CAY-2238,0
DbRelationship,1
syncing,1
ObjEntity,6
CAY-2261,0
NamedQuery,0
MappedXYZ,0
datamap.vm,0
CAY-1551,0
orderings,0
cayenne-server,0
cayenne-dbsync,1
CAY-2151,1
Database,8
complicated,3
catalog/schema,1
//issues.apache.org/jira/browse/CAY-2156,1
Partial,16
AUTO_PK_SUPPORT,1
CAY-1564,14
CayenneCase,35
Dzmitry,34
Kazimirchyk,34
PkGeneratorTest,0
1103349,0
CAY-1925,9
pipeline,20
key_name,0
1586981,0
CAY-1923,1
BatchTranslator,1
BatchParameterBinding,1
createSQLString,0
getSql,0
translator,3
deal,16
1582322,0
CAY-1795,2
Invisible,2
Oleg,9
Artyukevich,2
ModelerObjAttribute_4.patch,0
1586832,0
EJBQLQueryTest,0
1103027,0
unifying,1
ParameterBinding,3
CAY-1911,6
BatchQuery,8
localizing,1
LOB,12
hacks,2
OracleAdapter,1
1577579,0
CAY-1908,1
SQLActions,1
deeper,0
SelectTranslator,2
1577108,0
Binding,0
import/formatting,0
CAY-1862,1
1511508,0
CAY-2013,0
In-memory,0
non-id,0
CAY-2183,0
unexpectedly,4
DbMerger,1
DbLoaderConfiguration,0
backwards,15
ObjectNameGenerator,2
encryptors,0
1586979,0
CAY-1995,1
Select,6
CAY-1959,2
Chainable,2
PrefetchTreeNode,0
comprehensive,6
subtree,0
UPGRADE,0
NOTES,0
visible,10
Property.xyzPrefetch,0
leaf,10
unlikely,0
MyEntity.MY_PROPERTY.disjoint,0
.setSemantics,0
JOINT,0
v7upgradeTest.patch,0
intervention,0
1586828,0
CAY-2136,0
orderedList,0
CAY-2103,0
non-String,0
non-binary,0
parameterizing,0
BytesConverter,0
CAY-2106,0
ValueTransformerFactory,0
CAY-2150,0
escaping,3
CAY-1681-v5.patch,0
1326721,0
CAY-2208,0
SQLTemplate,4
LEFT,0
subset,17
services,105
CAY-2133,0
obj,3
rel,12
CAY-1565,11
PoolManagerTest,0
injecting,2
DataSourceInfo,0
1125978,0
CAY-1461,3
CayenneModeler,4
ScopeMVC,3
ObjRelationshipInfoDialog,1
Rostislav,3
edits,6
scopemvc,3
QueryType,0
1141870,0
tweaking,1
ExpressionFactory,4
wasteful,0
CAY-2118,1
filtering,26
IdSelect,0
makign,0
unrolling,0
1577571,0
CAY-1949,0
Search,4
Catalog,2
Kolbachev,0
d1e506c,0
CAY-2153,0
Additionally,12
bypass,4
ObjAttributeWrapper,0
modeler,6
unconditional,0
questionable,0
ivar,3
DataSource,6
CAY-1841,1
Filters,3
Left-hand,1
navigator,1
Horizontal,0
scroll,7
toolbar,3
collapsed,2
stay,12
CAY-1936,0
ServerRuntime.getDataSource,0
1587086,0
decryptors,0
1586980,0
CAY-1914,0
EJBQL-related,0
translators,2
'org.apache.cayenne.access.translator.ejbql,0
1577846,0
CAY-2035,0
Autobind,0
Cayenne,13
CAY-1746,0
InsertBatchQueries,0
DbArcId,0
a52431bb10c4a49123cac8cabe9d124cd61f3c1d,0
1397175,0
fork,7
bypassed,0
CAY-2084,1
ObjectIdQuery,1
polymorphism,1
Squashing,0
leaks,17
ReverseEngineeringController,0
'exp,0
'where,0
discusion,0
CAY-2043,0
ServerRuntimeBuilder,0
DataDomain,4
CAY-1829,4
ResultIterator,7
ObjectContext.iterate,4
1486155,0
CAY-2122,0
Attribute,3
Relationship,0
negligible,0
reversing,6
individual,30
dot,87
1308081,0
CAY-1534,3
cayenne-lifecycle,7
AuditableFilter,4
per-commit,0
1068902,0
notion,2
endless,1
1065704,0
CAY-2107,0
Lazy,3
crypto,5
subsystem,3
CAY-1403,1
readNestedProperty,2
Resolve,13
Iterative,1
Invocations,1
onto,6
DataObject,3
Within,1
Cayenne.readNestedProperty,1
Porting,5
3.0,7
Andrew,11
Lindesay,2
twist,0
overridable,4
CayenneDataObject,1
readnestedProperty,0
1032829,0
CAY-1479,4
EntitySorter,6
DI-based,4
internalize,4
Ashowood,4
AshwoodEntitySorter,1
org.apache.cayenne.ashwood,1
ashwood,0
organized,0
generified,41
990775,0
CAY-1424,2
map/list,2
Map/List,0
scopes,3
SINGLETON,1
939948,0
CAY-1417,1
CAY-1365,1
931910,0
CAY-2113,0
Reverse-engineering,0
reinstates,0
EntityMergeSupport,0
decryptor,1
1587085,0
encryptor,0
1586978,0
CAY-1759,2
'catalog,3
'schemaName,2
'schema',2
reformatting,1
schemaName,0
1407449,0
CAY-1765,0
excludeTables/includeTables,0
exclude/include,0
1407666,0
CAY-1748,2
IdCoder/EntityIdCoder,2
ObjectIds,2
idCoder.getStringId,0
ObjectId,1
1400062,0
CAY-1685,0
dots,0
names-,0
identifiers,4
1300187,0
CAY-1665,1
Consistent,4
concise,2
aggregated,3
1296128,0
untyped,1
JCacheQueryCache,0
1576780,0
CAY-1785,0
DataRows,1
1499211,0
'likeIgnoreCase,1
'likeInsensitive,1
CAY-1972,0
multi-module,0
1577597,0
CAY-1900,0
1568606,0
CAY-1774,1
EhCacheQueryCache.get,1
QueryMetadata,1
QueryCacheEntryFactory,1
EhCache,2
1412502,0
'uuid',0
1400060,0
CAY-1826,0
tabs,4
Andrus,1
CAY-1352,5
embeddables,9
894628,0
CAY-1314,2
Vecror,0
885464,0
CAY-1283,1
enums,5
820640,0
CAY-1009,2
Bogus,0
mess,1
808999,0
StatementFetchSizeTest,0
1103409,0
DataContextProcedureQueryTest,0
1101605,0
DataContextSharedCacheEmpiricTest,0
1101606,0
CAY-1932,0
Parameters,4
Converting,1
Expressions,1
Lindsay,0
sans,0
pom.xml,2
compress,16
1588252,0
CAY-1938,1
TransactionDelegate,1
tx-related,0
MacOS,2
885440,0
CAY-1319,8
Switch,35
cayenne-di,7
DataSourceFactory,1
instrcutions,0
887949,0
unfinished,0
DataChannelLoader,0
884688,0
CAY-1230,3
unification,5
ROP,9
classic,5
883858,0
CDO,0
PersistentObject,0
777095,0
CAY-1563,7
DeleteBatchQueryBuilderTest,0
1099057,0
CAY-1627,0
to-many,5
1179165,0
CAY-1638,0
PATCH,3
CayenneContext,0
Huss,2
1196974,0
1588253,0
CAY-1136,7
Compiled,5
EntityResult,12
ivars,0
722021,0
CAY-1952,0
Undeprecate,0
ObjectContext.deleteObject,0
1587084,0
StringBuffer,10
StringBuilder,10
1577549,0
CAY-1907,2
RowReaderFactory,2
RowReader,0
friends,4
1577110,0
CAY-2112,0
performInTransaction,0
CAY-1619,0
AdhocObjectFactory,0
factory.newInstance,0
1171115,0
RemoteCayenneCase,1
1104648,0
SingleTableInheritanceTest,0
1101585,0
CAY-1885,0
1553810,0
hiding,4
DataRowPostProcessor,0
reader,23
1576779,0
CAY-2012,0
eiliminating,0
addOrderBy,0
orderBy,1
addPrefetch,0
CAY-1933,0
Problems,0
Evaluating,0
Statements,2
CAY-1137,0
ignoring,5
QueryMetadata.isResolvingInherited,0
conditional,8
719515,0
CAY-911,0
JComboBox,0
Autocompletion,0
661168,0
container-based,0
889955,0
DBCPDataSourceFactory,0
887787,0
configuration.DataSourceFactoryLoader,0
configuration.DataSourceFactory,0
configuration.XMLPoolingDataSourceFactory,0
configuration.DbAdapterFactory,0
configuration.AdhocObjectFactory,0
887667,0
CAY-1425,0
sharedConfiguration,0
singleton,2
affecting,1
DataContext,2
940357,0
CayenneDOTestBase,1
1104645,0
884873,0
CAY-1177,0
Outer,4
Expression.filterObjects,0
Dima,2
Loiko,2
FilterObjects_1.1.txt,0
794661,0
CAY-1205,0
Renaming,12
DbRelationships,0
ObjRelationships,0
775538,0
CAY-1920,0
decorators,2
1578076,0
PrefetchProcessorTreeBuilderTest,0
1125982,0
CAY-1446,0
DataContextFactory,1
DI-enabled,0
ObjectContextFactory,0
DCF,0
DD.createDataContext,0
953516,0
CAY-1882,0
warming,0
bundle,31
classloader,4
hack,1
CAY-1887,1
1544969,0
SQLResultSetMapping,0
721686,0
CAY-1553,0
SortWeight,0
1085358,0
1576774,0
1577594,0
DataDomainFlushObserver,0
1577538,0
differentiate,3
'getClassloader,0
1544943,0
precompiling,0
1582323,0
QueryBuilder,1
1577548,0
redoign,0
crazy,0
1587083,0
CAY-1921,0
Dabase,0
SqlServer,0
2008,33
uneeded,1
cloning,16
1586831,0
CAY-1843,0
Stop,3
project_2.patch,0
Miłosz,0
Pigłas,0
1506221,0
CAY-1828,0
SQLSelect,0
friendly,3
selecting,8
1486314,0
DataContextClobTest,0
1124484,0
1104640,0
QueryAssemblerTest,0
1101568,0
callback-based,0
1486133,0
1104646,0
CAY-1546,1
UuidBatchFault,1
1075294,0
CAY-1472,0
-Dmaven.test.skip=true,0
CayenneResources,0
cayenne-test-utilities,0
987723,0
CAY-1831,0
CayenneRuntime.getContext,0
newContext,0
1486469,0
Eclipse,2
show/hide,0
everything/objentities/dbentities/queries,0
21/Aug/13,0
Ilya,1
Vasiuk,0
1517628,0
CAY-1840,0
Conditionally,2
long-running,0
1505789,0
DataDomainProvider,1
Injection,0
Injector,4
885341,0
CAY-1769,1
meaningfulPk,1
turned,9
1407948,0
bunch,6
addMap,0
removeMap,0
addDataMap,0
removeDataMap,0
injectable,2
anti-pattern,0
'injectMembers',0
Ashwood,2
internalizing,0
990579,0
1486153,0
CAY-1422,0
EventManager,1
932996,0
CAY-1369,3
likeIgnoreCase,3
901891,0
CAY-1260,1
Inspector1_5.txt,0
Olga,3
Tkachova,3
823096,0
CAY-1246,0
preferences,0
808172,0
CAY-1174,0
reworked,10
739765,0
CAY-1313,1
relationship-ending,4
898362,0
1407957,0
catalog,19
1407450,0
ugliness,0
hood,0
1486125,0
CAY-1780,0
Drabenia,0
1420295,0
1407452,0
CAY-1764,0
1407593,0
1400063,0
CAY-946,2
JPA,15
property-based,3
skipping,3
Cayenne-generated,0
analyzing,0
606466,0
untested,3
721817,0
CAY-1495,1
Synchronized,1
maven-cayenne-plugin,1
documented,5
1022984,0
CAY-1669,0
contention,16
1292249,0
CAY-1757,1
Faulting,1
uncommitted,4
1407882,0
alt,0
885498,0
1296127,0
884844,0
CAY-1146,0
ObjectContext,1
BaseContext,0
726039,0
CAY-1140,5
DataRow,7
resulting,13
722019,1
CAY-1762,0
defaultPackage,0
placing,0
1407494,0
CAY-1726,0
Expression,8
Vital,0
Zanko,0
1404300,0
CAY-1653,0
DefaultEventManager,0
non-bocking,0
DispatchQueue,1
dispatchEvent,0
1234984,0
CAY-1637,0
cumbersome,0
customize,3
1196716,0
ObjRelationshipInfo,0
DbRelationshipTarget,0
1141850,0
SelectTranslatorTest,0
1101577,0
DbLoaderTest,0
1103021,0
dding,0
1308074,0
CAY-1505,1
Callbacks,1
POST_UPDATE,1
POST_REMOVE,1
//svn.apache.org/repos/asf/cayenne/main/branches/STABLE-3.0,17
1033690,0
CAY-1784,0
'Property,0
1425945,0
CAY-1068,3
index/offset,3
PrecedureQuery,0
676405,0
1486152,0
CAY-574,0
DataObjectUtils,0
'objectForPK,0
618081,0
CAY-1005,0
Qualifier,1
Declared,0
651415,0
CAY-971,0
GraphDiff,0
compressor,1
simplest,0
cancel,4
repeating,0
618098,0
CAY-961,1
612246,0
DefaultsPreferences,0
1141934,0
EntityResolverTest,0
1124487,0
DbLoaderPartialTest,0
1103020,0
MergeCase,0
MergerCase,0
scoping,0
1104196,0
Exerimental,0
rewrote,2
inspector,1
editable,4
embeddable,1
EmdeddebleAttribute,0
829522,0
CAY-1145,0
823092,0
PersistenceByReachabilityTest,0
1103347,0
DeleteRulesTest,0
1099059,0
CAY-1526,0
Preferences,1
java.lang.IllegalArgumentException,3
1083748,0
612384,0
CacheSyncConfig,0
1142590,0
NestedDataContextReadTest,0
1124503,0
DataDomainTest,0
1101607,0
org.apache.cayenne.modeler.ModelerPreferences,0
885368,0
CAY-1060,0
selections,0
670246,0
CAY-1681-v3.patch,0
scnearios,0
prefetched,0
1324620,0
minor.patch,0
TestCase,0
1104202,0
DbRelationshipTest,0
1103023,0
CAY-1536,1
DataChannel,1
1072435,0
CAY-901,0
to-one,0
588174,0
CAY-1455,1
Kravchenko,1
958859,0
CAY-1636,0
1221202,0
CAY-868,0
EventManager.getDefaultManager,0
647213,0
1065000,0
CAY-1439,0
ClassDescriptor,0
'getIdProperties',0
'getDiscriminatorColumns',0
'getMapArcProperties',0
949719,0
CAY-1419,0
File-based,0
ResourceLocator,0
FileConfiguration,0
932955,0
level,136
722024,0
CAY-1288,0
deleteObjects,0
823656,0
1153056,0
NestedDataContextWriteTest,0
1124504,0
1033693,0
stopped,2
DataNode.entitySorter,0
990578,0
CAY-884,0
609963,0
NestedDataContextParentPeerEventsTest,0
Artist/Painting,0
one-to-many,0
mappjg,0
1126041,0
BatchActionLockingTest,0
1099055,0
DataContextBlobTest,0
1101604,0
CAY-1111,1
Expression.toEJBQL,1
single-column,4
Persistent,2
928401,0
CAY-1402,0
Terminating,0
Nested,0
Collections,6
Lindsey,0
921854,0
CAY-994,0
enumeration,2
632775,0
CAY-1206,0
madatory,0
ValueForNullProvider,0
764243,0
722020,0
675542,0
CAY-960,0
612201,0
SnapshotEventTest,0
1101586,0
CAY-954,4
marker,7
609321,0
CAY-1459,0
DbEntities,1
1235800,0
CAY-1639,0
UUID,3
ended,0
wider,1
reorg,1
complact,0
1201425,0
CAY-1688,0
DataDomain.getNode,0
getDataNode,0
1311326,0
1075295,0
1072436,0
CAY-904,1
cayenne,0
cayenne-jdk1.4-unpublished,0
cayenne-jdk1.5-unpublished,0
595146,0
audit,33
ops,7
1065004,0
CAY-1499,0
DataContext.objectFromDataRow,0
1029662,0
trimming,0
990886,0
locking,13
990859,0
DataContextProvider,0
CayenneRuntime,0
CayenneServerRuntime,1
itests,0
887668,0
CAY-1378,1
unsetting,1
trivial,9
908687,0
CAY-991,0
isMandatory,0
getMaxLength,0
members,3
ObjAttributeб,0
ClientObjAttribute,0
723425,0
determining,3
722018,0
CAY-1366,1
Ksenia,4
Khailenko,4
902364,0
901627,0
CAY-934,0
602840,0
CAY-1340,0
ConfigurationNode,0
ConfigurationNodeVisitor,0
891776,0
CAY-1567,0
BaseQueryMetadata.setPrefetches,0
1103317,0
currentEntity,1
emdeddabless,1
894662,0
SQLTemplateTest,0
1103408,0
aadamchik,0
1032831,0
ResultDirectiveTest,0
1125981,0
DbGeneratorTest,0
1103018,0
ExpressionFactoryTest,0
locations,7
1099180,0
CAY-1367,1
Derby,140
903174,0
CAY-843,3
one-way,3
fresh,0
563187,0
CAY-1265,0
810425,0
901894,0
CAY-903,0
DataObjects,0
588293,0
CAY-1082,0
RefreshQuery,0
671550,0
Largely,0
CAY-888,0
664525,0
898355,0
CAY-892,0
JEdit,0
Syntax,3
TextAreas,0
Razumovsky,1
apologies,0
attribution,0
689322,0
0c02e4259a6e6a82dbdcd3f5029feefe6b04c260,0
894632,0
Extending,1
XMLDataChannelDescriptorLoader,0
XMLDataMapLoader,0
885258,0
CAY-1282,0
directive,1
825603,0
CAY-860,0
577334,0
CAY-1236,0
INSERT,29
UPDATE,23
DELETE,14
builders,2
781429,0
CAY-770,0
568926,0
CAY-816,0
764184,0
NO_SCOPE,0
939949,0
939928,0
CAY-1185,0
760825,0
563882,0
query.SQLResultSetMetadata,0
map.SQLResultSet,0
721818,0
firther,0
SQLResultSet,0
SQLResult,0
ResultSet,45
721822,0
CAY-1069,1
across,44
898317,1
CAY-1405,1
attempting,23
comparision,0
928493,0
CAY-1118,0
setToXXX,0
703991,0
CAY-939,0
607954,0
ProcedureQuery,0
676373,0
JDBCResultIterator,0
722016,0
CAY-941,0
SimpleNode.connectChildren,0
robustness,11
604601,0
Beefier,0
823188,0
894609,0
CAY-1055,0
Right-click,0
contextual,4
entities/attributes/relationships,0
656482,0
Anton,0
unchanged,7
675533,0
CAY-929,1
CAY-560,1
652146,1
CAY-1125,0
SMALLINT,11
UNSIGNED,0
java.lang.Short,0
java.lang.Integer,0
705982,0
CAY-1011,2
confirmation,5
640085,0
CAY-1046,2
'isPrimaryKey,1
656253,0
CAY-894,0
Welcome,0
684399,0
931916,0
64dad56,0
CAY-1050,0
MySQLSniffer,0
654473,0
SQLResultSetMetadata/EntityResultMetadata,0
user-editable,0
SQLResultSet/EntityResult,0
721819,0
dbpath,0
609393,0
902416,0
640213,0
CAY-844,0
_Auto,0
575924,0
CAY-1094,0
687668,0
CAY-1074,0
Generated,0
DESC,2
667165,0
CAY-1024,0
Fall,0
DriverManager,1
646836,0
640214,0
CAY-1054,0
paginated,0
655530,0
CAY-933,1
Embeddable,2
602742,0
CAY-966,1
ObjRelationsship,1
DropColumnToModel,3
FKs,0
DropRelationshipToModel,0
Oyvind,0
614382,0
CAY-990,0
Arithmetic,0
630765,0
CAY-797,1
Lifecycle,6
CallbackInterceptor,1
contexts,4
PrePersist,0
PreRemove,0
560806,0
602737,0
CAY-1008,0
Reverse,1
637443,0
CAY-953,0
Single,3
609234,0
CAY-1084,0
openbase,2
673788,0
567407,0
CAY-765,0
Programmatically,0
516397,0
928404,0
7d7664d941ecd863bbc7f04f886e67e70732054b,0
894610,0
655887,0
markers,3
velocity,1
directives,0
609360,0
CAY-945,0
PropertyUtils,0
605178,0
CAY-899,0
POST_LOAD,0
587445,0
560809,0
CAY-766,0
localObject,0
postPersist,0
flat,3
DataContexts,0
515679,0
CAY-811,0
Meaningful,0
550958,0
CAY-937,0
hsql,0
605558,0
CAY-746,0
ConnectionProperties.ADAPTER_KEY,0
cayenne.adapter,0
503684,0
c9a15ef24ad36a5faa707b6f4bfd50df965c472f,0
//svn.apache.org/repos/asf/cayenne/main/branches/STABLE-3.1,1
1412505,0
5fc7f8da4b335a24854eceb70a0c7e66b8b880ea,0
903204,0
CAY-885,0
ObjRelationship,0
613170,0
starting,30
discriminator,0
609402,0
translation,3
CAY-956,0
609331,0
descriptors,16
606712,0
enhancer,0
605986,0
uint,0
566144,0
//svn.apache.org/repos/asf/cayenne/main/tags/3.0M4,0
656254,0
CAY-800,0
545616,0
1022932,0
901614,0
958860,0
9a21e146d9440c9a033b0a4cae288938b1f5cc9f,0
894667,0
928492,0
908670,0
porting,2
revs,0
repacked,0
898673,0
899270,0
899291,0
899283,0
902087,0
42dae0c92f721cae3e7cdb428766649f7f2171e0,0
1407886,0
FALCON-171,0
/api/entities/list,0
Contributed,213
Haohui,1
Mai,1
FALCON-107,1
Shwetha,5
FALCON-190,0
FALCON-1,0
packaging,5
Falcon,83
Srikanth,2
Sundarrajan,2
FALCON-85,1
HCatalog,0
Seetharam,5
FALCON-163,0
FALCON-127,0
FALCON-2052,0
Process,14
SLA,23
Adlakha,73
adlakha.praveen,14
Ajay,11
Yadava,10
ajayyadava,2
Pallavi,28
PraveenAdlakha/2052,0
FALCON-2185,19
sandeep,1198
sandysmdl,48
pallavi-rao,56
306,3
sandeepSamudrala/FALCON-2185,1
466705f,1
Incorporated,119
comments.Made,1
2a3e61d,1
e3516c2,1
cfe6c57,1
UTs,2
falcon,35
ebac5bb,1
d680244,1
//github.com/apache/falcon,711
8b2e0d9,1
2fd05bb,1
fc7e9a1,1
8aacd75,8
FALCON-2183,28
f3d7268,8
11e7b3f,8
Builder,14
250cc46,42
d0393e9,42
a178805,42
d6dc8bf,42
1bb8d3c,42
c065566,42
1a4dcd2,42
rebased,43
271318b,42
FALCON-2097,42
Delay,43
a94d4fe,42
9e68a57,44
FALCON-298,44
Feed,58
holes,46
FALCON-1789,0
Management,1
FALCON-1905,0
documentations,0
FALCON-1904,0
yzheng-hortonworks,1
yzheng,2
hortonworks.com,21
Balu,16
balu,4
Sowmya,12
sowmya_kr,0
yzheng-hortonworks/FALCON-1789,0
FALCON-1565,0
Listing,0
non-intuitive,0
endTime,0
FALCON-2261,3
Creating,27
falconHdfsFilesystem,1
uri,8
346,1
sandeepSamudrala/FALCON-2261,1
3fefbc7,1
24b3da9,1
c5da0a2,5
7e16263,12
a234d94,12
FALCON-2231,28
Incoporated,16
colo,16
26e3350,12
73fbf75,15
cc28658,19
089b10d,19
456d4ee,21
0cf9af6,21
4a2e23e,23
b1546ed,23
0a433fb,23
194f36a,23
e0ad358,23
f96a084,25
9cf36e9,33
bbca081,33
48f6afa,33
FALCON-2186,1
Dev,0
bin/falcon,0
-location,0
-extensionName,0
hdfs-mirroring,0
/usr/local/falcon/falcon-0.11-SNAPSHOT/extensions/hdfs-mirroring,0
sandeepSamudrala,10
PraveenAdlakha/2186,0
de27a28,0
12ef6e9,0
ec02d96,0
ead71da,0
e256118,0
d5e27e5,0
FALCON-2181,3
trusted,13
recipe,6
f10707f,0
b9ee18f,0
953cd4e,0
decd7e4,0
9964ffc,0
FALCON-2235,17
Suspend/Resume,5
sandeepSamudrala/FALCON-2235,2
f1f1f03,2
554824d,2
bufferedRequest,2
mark/reset,2
80ffd94,2
Review,16
73a57f8,2
32e9982,2
FALCON-1733,1
1.8,12
Narayan,3
Periwal,3
FALCON-1636,0
Rerun,1
Pavan,10
Kolamuri,10
FALCON-1750,5
Pointer,3
listening,5
Workflow,5
Notifi…,1
…cations,1
pallavi.rao,8
inmobi.com,18
Sandeep,10
Samudrala,3
sandeep.samudrala,1
pavan.kolamuri,17
pallavi-rao/master,1
ae8dacb,1
9e95e12,1
'upstream/master',35
b04519e,1
Notifications,1
FALCON-1595,0
secure,22
loses,4
communicate,5
Vellanki,14
FALCON-1477,0
-debug,0
FALCON-1319,0
Contribute,0
HiveDr,0
Namit,0
Maheshwari,40
Paul,8
Isaychuk,7
Raghav,2
Ostafiychuk,2
FALCON-11,0
FALCON-2210,20
submitAndSchedule,7
feeds,7
313,3
sandeepSamudrala/FALCON-2210,2
3b7a3ae,2
f08cf15,2
98d382e,2
4004ae7,2
d5e4c53,2
05b87fb,2
2bd685f,5
FALCON-2201,62
c7422e6,5
86446ad,5
432cdfd,5
a0ce5e0,5
519a877,5
c101c7b,5
bf0e6ed,5
adfd318,5
03f0c3c,5
FALCON-694,0
StringIndexOutOfBoundsException,4
Ramesh,16
FALCON-168,0
Different,0
FALCON-2333,0
FilteredCopyListing,2
shouldCopy,1
succeeds,3
INFO,39
Reactor,0
......................................,0
SUCCESS,35
29.596,0
...................................,0
30.419,0
Tools,2
........................................,0
20.110,0
....................,1
54.352,0
..............................,1
21.369,0
Dependencies,1
..................,0
23.484,0
Utility,2
.........................,0
19.320,0
05:45,0
min,16
...........................,1
01:19,0
..........................,1
46.655,0
Shell,3
................................,2
28.133,0
30.136,0
Titan,0
1.0,8
14.624,0
Oozie,22
...................,1
24.562,0
Embedded,10
.......,0
01:02,0
Sharelib,4
.........,0
7.371,0
..........,0
2.580,0
Hcatalog,0
.....,0
2.128,0
........,0
0.899,0
............,0
0.789,0
Messaging,0
............................,2
01:03,0
LIfecycle,0
.....................,0
38.893,0
Adaptor,0
........................,1
04:16,0
02:24,0
Acquisition,0
51.916,0
Distcp,1
Replication,4
35.040,0
Retention,1
32.609,0
Archival,0
.............................,1
2.186,0
40.828,0
Prism,0
08:04,0
.................................,0
04:04,0
Examples,3
35.224,0
Application,7
......................,0
26:32,0
23.240,0
Distro,0
...............................,0
03:09,0
BUILD,2
Raghavendra,2
raghavendra.singh,0
407,1
RaghavendraSingh/master,0
febf03f88,0
0595e7963,0
FALCON-2020,3
Graphite,3
Notification,5
bvellanki,10
180,2
PraveenAdlakha/2020,1
ecfae9a,1
5f3b962,1
FALCON-1011,0
PrismProcessScheduleTest,0
Pragya,11
FALCON-875,0
Enitiy,0
filterBy,0
pipelines,2
FALCON-640,0
RestAPI,0
FALCON-622,0
ProcessUpdate,0
Samarth,13
FALCON-2071,1
Yarn,1
peeyush,1
pbishnoi,1
Venkat,6
Ranganathan,5
venkat,3
220,1
peeyushb/FALCON-2071,1
FALCON-1819,0
belonging,2
pisaychuk,1
Mittal,1
mittal.pragya23,1
pisaychuk/master,0
FALCON-312,1
LogCleanupServiceTest,1
FALCON-2193,0
ExtensionStoreTest,0
FALCON-2188,0
305,0
pallavi-rao/2193,0
FALCON-2258,5
definition/describe,5
341,5
sandeepSamudrala/FALCON-2258,2
6b10c9d,2
b7fd5ab,2
9c99133,2
80e533b,2
FALCON-2228,5
workflow,11
ouputs,3
sandeepSamudrala/FALCON-2228,1
b8a3e3e,1
OUTPUT_STORAGE_TYPES,1
4d00d7f,1
297,0
PraveenAdlakha/751,0
c8428b7,0
fb2c495,0
f59e622,0
a69d899,0
d193679,0
FALCON-1647,0
FilePermission,0
staging,2
FALCON-1601,1
disclosing,1
imp,1
startup.props,1
FALCON-2171,1
colos,2
overwritten,4
Manual,0
colo.,0
pallavi-rao/2171,0
a2671b1,0
FALCON-1821,3
5228a40,0
a6d8c6c,1
FALCON-2224,2
APIResult,1
Pracheer,91
Agarwal,91
pracheer.agarwal,4
330,0
PracheerAgarwal/APIResult,0
2f62d03,0
conficts,1
1c0d6fb,0
8e058e7,0
ff1dbb4,0
getExtensionDetail,0
getExtensions,0
AbstractFalconClient,0
533d507,0
46042fd,4
//github.com/PracheerAgarwal/falcon,10
daa3ffc,4
FALCON-2225,9
622cae4,4
FALCON-2260,5
PraveenAdlakha,3
343,1
sandeepSamudrala/FALCON-2260,1
5d9c151,1
410f6a7,1
7609139,1
8f2a8d4,1
c949059,1
d317d3d,3
6617993,3
46ad617,3
c1189be,3
a70f5a9,3
FALCON-2259,5
Unregister,5
Schedule,7
pallavi,1
pracheer,1
praveen,1
sandeepSamudrala/FALCON-2231,1
d32bf98,1
2bbd7e2,1
2269806,1
44d6f2a,1
LocalExtensionManager,1
f165282,1
scheduling,16
96a9a1d,1
Rebased,5
ca320e0,1
FACLON-2231,1
53831ea,1
FALCON-2276,7
Trusted,7
sandeepSamudrala/FALCON-2276,3
84169d6,3
a3bd0e9,3
db425c5,3
3f67fed,3
cb2b00d,3
79e8d64,3
7de7798,3
FALCON-2263Merge,3
