Lemma,Number of occurrences
KMeansPlusPlusClusterer,0
fail,115
NullPointerException,34
component,78
distances,0
exceeded,6
Integer.MAXVALUE,0
MATH-305,0
Erik,1
van,3
Ingen,0
885027,0
MATH-534,0
parametric,2
PolynomialFunction,0
Adapted,1
affected,11
1075054,0
alternative,16
generating,12
poisson,0
deviates,0
MATH-294,0
824214,0
MATH-454,0
Pass,16
1043078,0
MATH-432,0
immutable,28
1032010,0
MATH-513,0
o.a.c.math.optimization.fitting.ParametricRealFunction,0
o.a.c.math.analysis.ParametricUnivariateRealFunction,0
files,386
1071429,0
MATH-514,0
Parametric,0
1071430,0
WeightedEvaluation,0
weighted,0
statistics,79
MATH-287,0
894472,0
MATH-349,2
1001331,0
Array2DRowRealMatrix,0
MatrixIndexException,0
clean,115
1027952,0
Selecting,5
start,104
interval,10
1000422,0
MATH-458,0
LoessInterpolator,0
1055931,0
MATH-389,1
Duplicate,5
MultivariateRealOptimizer,0
DifferentiableMultivariateRealOptimizer,0
BaseMultivariateRealOptimizer,0
AbstractScalarOptimizer,0
derivatives,0
967288,0
MATH-439,1
Implementations,1
refer,21
objective,1
iterations,7
NewtonSolver,1
fits,4
design,10
resorting,1
MullerSolver2,1
contain,50
named,29
solve2,1
MullerSolver,1
UnivariateRealSolverFactory,1
UnivariateRealSolverFactoryImpl,1
Default,19
UnivariateRealSolverUtils,3
explicitely,1
instantiated,12
AbstractContinuousDistribution,1
Type,20
GaussNewtonOptimizerTest,1
LevenbergMarquardtOptimizerTest,1
Circle,3
called,113
CircleVectorial,1
Also,236
NonLinearConjugateGradientOptimizerTest,1
CircleScalar,1
SecantSolverTest,1
SecantSolver,1
located,3
BrentSolverTest,1
polynomial,1
LaguerreSolver,1
compile,25
MATH-441,1
clean-up,5
Lowered,1
tolerance,5
Tests,55
Junit,7
1039083,1
Partially,3
fixing,64
MATH-370,0
full,46
resolution,34
delayed,6
major,16
release,66
952949,0
Linf,0
norm,16
MATH-326,0
894367,0
ade,0
per,171
conclusion,0
stat,6
conflicted,0
ditribution,0
instances,58
IllegalArgumentException,12
stateful,3
Cleaned,8
1003048,0
1001533,0
everywhere,7
replacement,15
java.util.Math,1
yet,76
waiting,26
dfp,1
addition,56
990658,0
//svn.apache.org/repos/asf/commons/proper/math/branches/MATH_2_X,7
996166,0
990655,0
Started,2
work,321
JAMA-like,0
first,144
enhancement,4
existing,169
QR-decomposition,0
associated,37
JAMA-style,0
getH,0
importantly,0
least-squares,0
equation,0
MATH-220,1
//svn.apache.org/repos/asf/commons/proper/math/branches/MATH_2_0,4
687167,0
coefficient,1
MATH-241,0
Christian,3
Semrau,1
735879,0
724191,0
FirstOrderIntegrator.getSwitchingFunctions,0
collection,36
SwitchingFunction,0
better,117
suits,0
intended,19
fixes,336
since,151
referenced,32
SwitchState,0
MATH-210,0
669851,0
completed,18
accurate,6
dqd/dqds,0
faster,14
Jama,0
dimensions,17
speed,11
increases,5
100,24
around,59
250,1
700,0
possible,135
eigenvalues,0
hence,44
saving,15
eigenvectors,0
even,104
increasing,10
721203,0
gcd,0
lcm,0
extreme,1
boundaries,9
MATH-243,0
746511,0
specification,24
api,94
MATH-255,0
Patched,0
Mauro,0
Televi,0
676241,0
MATH-120,0
finished,8
review,255
pascal,0
//svn.apache.org/repos/asf/jakarta/commons/proper/math/trunk,1
525837,0
Cyril,0
Briquet,0
observations,0
removal,29
feature,70
descriptive,4
MATH-229,0
713093,0
MATH-1376,0
incorrect,92
Weise,7
MATH-1365,1
requires,28
custom,107
serialization,40
RNG,9
MATH-1360,1
MATH-1341,1
Use,198
RandomUtils,0
MATH-1286,1
Range,2
holds,8
instance,195
MATH-156,0
provided,61
caller,11
BrentSolver.solve,0
improving,10
536283,0
MATH-1309,2
setSeed,3
MATH-1369,0
Move,131
belongs,11
MATH-1290,1
Utilities,1
manipulating,1
complex,19
MATH-1291,1
MATH-1349,1
equality,10
Eric,7
Barnhill,1
MATH-1304,0
nextBytes,1
replacing,11
next,76
1060065,0
MATH-1393,0
Commons,21
Ported,15
re-implementation,0
4.X,0
3.X,0
MATH-1272,0
MATH-1158,1
Using,44
sampler,0
Deprecate,8
Apart,1
impact,14
may,121
highly,4
sensitive,17
seed,5
statistical,0
MATH-1124,0
o.a.c.m.random,0
depend,5
1006299,0
incompatible,8
r967288,0
1065481,0
MATH-1335,0
rewritten,11
MATH-1300,0
Backport,18
originally,4
master,162
branch,1200
MATH-1305,0
Slight,3
improvement,32
1062549,0
MATH-1351,0
multivariate,0
similar,39
file,456
accordance,0
One,19
Ignore,20
bug-tracking,0
system,166
1004045,0
MATH-1429,0
UnitSphereRandomVectorGenerator,0
UnitSphereSampler,0
Functionality,3
//issues.apache.org/jira/browse/RNG-39,0
MATH-1416,0
Delete,21
available,92
Numbers,0
MATH-1449,0
PolygonsSet.getBarycenter,0
Cartesian2D.NaN,0
empty,110
regions,1
MATH-1443,6
Depend,6
Statistics,7
MATH-1442,0
size,210
PolyhedronsSet,0
updating,42
clearer,8
Simplify,18
remain,13
Math,1
FIX,38
resolve,107
dynamic,69
revisions,56
URL,44
repositories,14
IVY-1472,0
//svn.apache.org/repos/asf/ant/ivy/core/trunk,44
1596968,0
IVY-1431,0
metadata,194
artifact,51
POM,2
ivy,21
install,17
Erwin,0
Tratar,0
1550939,0
IMPROVEMENT,7
LockStrategy,0
NIO,23
FileLocks,0
IVY-1424,1
FileLocker,0
released,12
locks,15
Charles,0
Duffy,1
1507138,0
IVY-1060,1
account,35
encoding,63
page,121
Robin,1
Fernandes,2
1373478,0
Attempt,6
IVY-1378,1
converting,13
systemIds,0
URI,25
RFC,3
2396.,0
1401854,0
IVY-334,0
refactor,94
resources,61
becomes,24
post,29
task,120
like,146
cachepath,1
nice,5
side,101
effect,25
every,49
tasks,116
inlined,3
ivy.xml,5
dependencies,54
1030584,0
Re-implemented,1
IVY-1281,2
much,62
issues,231
1396296,0
IVY-1036,1
latest.integration,0
n't,470
resolved,83
Maven,7
snapshot,22
repository,74
uniqueVersion,0
true,64
1398943,0
IVY-1300,1
Delivered,1
descriptor,32
retrieve,21
post-resolve,1
actions,44
Burcher,1
1342465,0
Mitch,1
Gitman,1
Jean-Louis,3
Boudart,3
buildlist,4
confused,4
parents,1
IVY-1363,3
complains,1
Windows,25
filesystem,9
path,115
IVY-1359,3
chokes,1
Ivy,4
module,118
IVY-1364,3
1364410,1
Could,5
authenticate,3
sites,0
address,58
proxy,35
server,266
IVY-1234,0
1002371,0
NEW,12
conf,25
description,35
IVY-1158,0
898344,0
tag,57
section,27
info,47
location,29
IVY-1287,0
1097612,0
evicts,0
modules,24
organisation,0
IVY-731,0
642405,0
2.0.x,0
trunk,378
IVY-910,0
IVY-909,0
IVY-907,0
IVY-911,0
698318,0
IVY-1329,0
OSGi,21
requirement,10
filter,65
1231711,0
haltonmissing,0
publish,11
prevent,50
published,2
atomic,7
publisher,8
IVY-656,0
671578,0
Dynamic,11
result,220
contains,60
extra,60
attributes,69
IVY-1236,0
1055675,0
fileset,0
retrieved,8
artifacts,39
IVY-1235,0
1068587,0
memory/Stack,0
coupled,3
project,84
IVY-595,0
642199,0
makepom,0
accepts,12
configurations,33
IVY-1005,1
Jesper,0
Pedersen,0
964690,0
illegal,10
XML,68
pom,32
IVY-921,0
700610,0
Ease,1
auditing,8
IVY-655,0
601077,0
originalname,0
expanded,13
IVY-1096,0
786304,0
IVY-872,1
683564,0
IVY-1148,0
888191,0
ignores,12
IVY-1087,0
2nd,10
attempt,33
788902,0
connection,274
leak,35
IVY-854,0
HttpClient,8
679208,0
download,27
space,43
HTTP,58
IVY-923,0
700941,0
